id,username,posts,followers,following,caption,caption_length,taken_at,video_duration,hashtag_count,mention_count,like_count,comment_count,view_count,summary,summary_title,summary_topic,summary_length,avg_brightness,std_brightness,avg_db,std_db,avg_frequency,std_frequency
795,tasyafarasya,3922.0,7346564.0,1112.0,Spill softlens spill softlens spill softlens!!! Okey ini bener2 rahasia mata cantik aku🥹 girlies dont gatekeep. Mana yg paling cocok di akuuu???,144,2025-02-22T02:48:57,122.923,0,0,9554,103,629091.0,"Video ini membahas dan memperkenalkan lima jenis soft lens yang sering digunakan, masing-masing dengan warna dan efek yang berbeda. Lensa-lensa tersebut mencakup Desire Lime untuk tampilan natural, Desire Amber untuk makeup ala Korea, Kierra dari She Soft Lens yang memberikan efek abu-abu kehijauan, Symphony Green dari Rust Eye untuk tampilan natural dengan sentuhan hijau, dan Samantha dari She Soft Lens yang cocok untuk makeup smoky eye dengan warna coklat terang.",Top 5 Warna Lensa Kontak yang Sering Dipakai,Kecantikan,469,125.8357002,8.826925687,-12.551395,5.7880497,2014.196619,949.5593007
466,moladin_id,2657.0,94637.0,12.0,"Isi angin ban jangan asal penuh karena berpotensi membahayakan bila kelewat tinggi atau malah menurunkan efisiensi kalau terlalu rendah. Untuk itu, periksa dulu rekomendasi tekanan angin dari pabrikan yang umumnya terletak di area frame/pilar sisi pengemudi.
#tipsmobil #moladin #tipstipistipis",294,2025-02-04T15:10:18,44.566,3,0,148,5,6157.0,"Video ini menjelaskan cara cek tekanan angin ban yang tepat untuk mobil dengan memeriksa stiker rekomendasi pabrikan di area pilat bagian bawah kendaraan. Contohnya, pada Honda BR-V, tekanan angin disarankan 220 kPa atau 32 PSI untuk 5-7 orang plus barang, termasuk ban serep. Tekanan yang sesuai penting untuk safety, performa, dan efisiensi bahan bakar.",Cara Cek Tekanan Angin Ban yang Tepat,Otomotif,355,124.9192202,35.45798115,-9.667877,4.9030476,1197.261162,485.2252555
494,motomobitv,7079.0,1203272.0,1215.0,Rajanya JDM. Super mewah. Setiap pintu ada asbak sekaligus lighternya. Reviewnya baru saja tayang di channel MotoMobi.,118,2025-06-15T12:15:25,14.366,0,0,62576,439,4849688.0,Transkrip ini menunjukkan kekecewaan seseorang karena asbak dan personal lighter yang dimilikinya belum digunakan oleh orang lain. Ini menimbulkan rasa kesal dan frustrasi.,Frustrasi dengan Penggunaan Asbak dan Personal Lighter,Other,172,92.41535348,6.683093192,-17.22718,10.034894,1241.037663,657.2789371
480,moladin_id,2657.0,94644.0,12.0,"Gak bisa dipungkiri kalau mobil berpenggerak roda belakang (RWD) akan lebih lihai ketika dihadapkan dengan tanjakan terjal dan licin. Selalu ada traksi lantaran sisi roda penggerak dan titik tumpu bobot kendaraan sama-sama terletak di belakang ketika menanjak.

Dari empat LSUV yang kami bawa pun cuma satu yang effortless dibawa naik. Adalah Toyota Rush yang sukses tuntaskan jalur tanpa banyak drama dan tanpa selip. Mudah untuk merangkak naik meski secara output tenaga bukanlah yang terbesar.

#moladin #tipsmobil #reviewmobil",530,2025-01-29T12:13:16,73.933,3,0,8560,482,330375.0,"Video ini menunjukkan perbandingan performa antara beberapa model Low SUV (LSUV) dengan sistem penggerak roda depan (FWD) dan roda belakang (RWD) saat menanjak di tanjakan licin. LSUV FWD seperti Mitsubishi Xpander Cross, Honda BR-V, dan Hyundai Stargazer X mengalami kesulitan, dengan Stargazer X yang memiliki sistem kontrol traksi lebih baik namun tetap gagal. Sementara itu, Toyota Rush RWD berhasil menanjak tanpa masalah berkat posisi roda penggerak yang tepat di atas beban kendaraan. Video ini menekankan pentingnya sistem penggerak dalam performa tanjakan.",Perbandingan Performa FWD vs RWD di Tanjakan Licin,Otomotif,565,94.95209021,34.30251445,-13.88503,4.6251965,1430.964514,643.4384527
121,skincarian,1564.0,184926.0,1095.0,"Wardah baru aja reformulasi sunscreen kuningnya!! 🥹❤️

Banyak yang bilang kalau sunscreen Wardah warna kuning yang dulu tuh bikin kusem… well aku juga ngerasain hal yang sama sih. Nah, yang versi terbaru ini bener-bener upgrade banget.

Teksturnya makin ringan, feelsnya makin ok, dan enggak bikin kulit jadi kusem lagi. Malahan, bikin kulit jadi cerah nan glowing 🥹❤️

Btw aku mau bagiin sunscreen ini buat 2 orang yang beruntung. Caranya like, komeng, dan share reels ini aja. Good luck!",489,2025-06-18T10:35:53,39.433,0,0,572,97,25779.0,"Transkrip membahas reformulasi terbaru sunscreen wadah kuning yang sekarang menggunakan Ultra Thin Veil Technology. Teknologi ini membuat tekstur sunscreen menjadi lebih ringan dan tidak menimbulkan rasa kusam pada kulit. Selain itu, sunscreen ini juga diperkaya dengan vitamin C, niacinamide, dan luminescence yang bermanfaat untuk kesehatan kulit. Meskipun telah ditingkatkan, harga sunscreen ini tetap terjangkau.",Reformulasi Sunscreen Wadah Kuning dengan Teknologi Terbaru,Kecantikan,416,120.7580273,10.12566017,-8.721964,4.7468677,1765.704718,1009.346798
823,bobbyida,3189.0,1506221.0,1912.0,"Ini Jadwal Latihan Fullbodyworkout di Rumah✅

Untuk Jadwal Latihan ini kamu hanya butuh dua botol Air dan satu handuk✔️

Hari 1 
Squat | Push up | Superman+Handuk | Side Raises Botol | Curls dengan Botol | Knee Raises

Hari 2
Lunges| Close Grip Push up| Single Reverse Fly | Sumo Squat | Triceps Overheadextension | Plank

Hari 3
Side Lunges | Wide Push up | Behind the Neck Superman | Shoulderpress Botol | Reverse Fly | Reverse Lunges 

Lakukan setiap gerakan 10-20 Repetisi untuk Gerakan Plank selama 30-60 detik✔️
Kalau bisa lakukan semua gerakan dalam sehari tanpa istirahat dan baru istirahat 2-3 menit setelah semua gerakan dibereskan✔️

Please share Video ini dalam storymu✔️supaya lebih banyak Orang tahu cara latihan di rumah yang benar✅

#olahraga #olahragadirumah #fitnessindonesia #gymindonesia #binaraga #binaragaindonesia #hidupsehat #sehat #tipssehat #infosehat #kesehatan #tipskesehatan #infokesehatan #polahidupsehat #gayahidupsehat #indonesia #indonesian #indo #indonesiasehat #athomeworkout #athomeworkouts #homeworkouts #homeworkout #bodyweightworkout #pushup #fitnesstips #workouttips #fitnessathome #dirumahsaja #turunberatbadan",1151,2025-04-08T09:45:05,77.666,30,0,40716,491,757044.0,"Video ini memperkenalkan jadwal latihan full body workout yang dapat dilakukan di rumah menggunakan 2 botol air dan 1 handuk. Hari pertama fokus pada gerakan seperti squats, push up, superman, side raises, curls, dan knee raises untuk melatih berbagai otot tubuh bagian bawah, dada, bahu, dan perut. Hari kedua melibatkan gerakan lunges, close grip push up, single reverse flex, wide squats, triceps overhead extension, dan plank untuk melatih otot kaki, triceps, dan bahu. Hari ketiga mencakup side lunges, wide grip push up, behind the neck superman, shoulder press, reverse flex, dan reverse lunges untuk otot kaki, dada, dan bahu.",Jadwal Latihan Full Body Workout di Rumah,Kesehatan,634,94.70389659,13.08934586,-16.479221,10.428246,1621.032065,1142.900955
856,hellosehat,5399.0,232288.0,101.0,"Yang merasa gen z yuk merapat!

Beberapa waktu lalu, sempat viral informasi kalau ternyata generasi muda alias gen z rentan mengalami kanker kolorektal.

Apalagi jenis kanker ini umumnya terjadi karena pola makan tidak sehat, kurang aktivitas fisik dan pola hidup berantakan.

Terlebih generasi sekarang masih banyak yang suka makan junkfood dan terlalu lama rebahan di kasur nih.

Gak mau terjadi di kamu kan? Makanya yuk ubah pola hidup dan makan lebih sehat ya 🤗

#hellosehat #sehatuntuksemua #kankerkolorektal #kankerusus #genz #infokesehatan",546,2025-04-30T10:00:00,46.366,6,0,27,0,1817.0,"Gen Z memiliki risiko terkena kanker kolorektal, jenis kanker yang berasal dari usus besar dan dapat menyebar ke rektum. Kanker ini tidak hanya menyerang orang tua, tetapi juga muda, dengan penyebab utama seperti gaya hidup tidak sehat, kurang aktivitas fisik, dan pola makan tidak seimbang. Gejala yang muncul antara lain perubahan pola buang air besar, darah dalam feses, penurunan berat badan, perut kembung, dan nyeri. Mencegah kanker ini dapat dilakukan dengan mengubah pola makan dan meningkatkan kesehatan gaya hidup.",Kanker Kolorektal pada Gen Z: Penyebab dan Gejala,Kesehatan,524,128.089067,25.27654064,-23.02526,25.0936,1827.671503,1488.414421
695,jagat.review,2336.0,187865.0,12.0,"Polytron FlexUp 5in1 dengan Flexible Cooling System ini mempunyai 5 mode pendinginan,
Kalau membutuhkan space yang lebih besar, bisa ubah kompartemen freezer jadi mode yang dibutuhkan.
Space jadi 30% lebih besar

Review lengkapnya bisa kamu lihat di channel YouTube Jagat Review.

#FlexUp #polytron",298,2025-04-23T02:39:18,61.881,2,0,613,39,38338.0,"Transkrip ini membahas tentang kulkas Polytron Flex Up 5 in 1 yang memiliki sistem pendinginan fleksibel. Ruang freezernya dapat diubah fungsikan sebagai freezer biasa, super freezer, chiller, atau perluasan ruang pendingin. Kulkas ini juga dilengkapi dengan mode hemat energi, desain minimalis menggunakan tempered glass, deodorizer untuk menghilangkan bau, rak yang dapat disesuaikan, dan sistem automatic defrost. Selain itu, garansi kompresor mencapai 10 tahun.",Polytron Flex Up 5 in 1: Kulkas dengan Sistem Pendingin Fleksibel,Other,465,129.5862395,47.35174355,-9.9991665,8.138102,1733.820956,1135.634347
988,jakartadragonboatfestival,291.0,1940.0,288.0,"That’s a wrap on JIDBF 2025!
Grateful for every face, story, and spark of inspiration. Thanks to everyone who came and made it special. 🌊

#JIDBF2025 #ancoltamanimpian #hketo #pertamina #energyzingyou #konidki #disporadkijarta",226,2025-07-28T05:42:40,62.712,7,0,243,4,10181.0,"Video ini adalah bagian pembuka dari acara 'Sekarang Jakarta Internasional Dragon Ball Festival Ke-7 Tahun 2025'. Dalam transkrip ini, pembawa acara menyambut pagi dan selamat datang kepada para penonton dalam acara tersebut. Acara ini merupakan bagian dari program 'Bunga Jalan-jalan' dan dibuka dengan ucapan terima kasih kepada penonton yang hadir.",Jakarta International Dragon Ball Festival Ke-7 Tahun 2025,Other,351,163.5670611,36.96722193,-9.58549,8.597209,2007.39763,783.4808824
849,hellosehat,5399.0,232288.0,101.0,"Baru-baru ini viral di media sosial, di mana salah satu pendaki asal Brazil terjatuh ke dalam Jurang dengan ketinggian kurang lebih 400 meter di kawasan Gunung Rinjani.

Tim SAR telah melakukan evakuasi setelah beberapa hari mengalami kendala akibat cuaca yang tidak mendukung. 

Hingga akhirnya korban berhasil ditemukan, namun sayangnya sudah dalam keadaan meninggal dunia, diduga akibat hipotermia.

Mendaki gunung bukan cuma soal niat dan foto estetik, tapi juga risiko yang serius.

Makanya, kamu perlu berhati-hati dengan mempersiapkan fisik, mental dan peralatan sebelum mendaki seperti penjelasan berikut ini!
#hellosehat #sehatuntuksemua #mendakigunung #gunungrinjani",676,2025-06-25T10:00:35,57.678,4,0,618,4,59999.0,"Video ini menceritakan insiden pendaki asal Brazil yang jatuh ke jurang sedalam 400 meter di dekat kawah Gunung Rinjani dan berhasil dievakuasi tim SAR dalam keadaan meninggal dunia, diduga akibat hipotermia. Video kemudian memberikan saran persiapan sebelum mendaki, seperti memilih lokasi sesuai kemampuan, memeriksa cuaca, menggunakan pakaian dan peralatan yang tepat, serta memastikan kesiapan fisik dengan rutin berolahraga.",Insiden Pendaki Brasil dan Persiapan Mendaki Gunung,Kesehatan,429,118.2528871,40.98199822,-13.944576,10.573678,1646.049345,978.29837
910,jajago.keliling.indonesia,493.0,538503.0,1284.0,"Pria tidak bercerita, tiba² Roadtrip keliling ASEAN..
Ikuti perjalanan lengkapnya di channel bang @ridwanhr

1 Million Journey ""Tour de Asean""

makasi juga bang @ricsnt yg udah jagain Rangga 😘",192,2025-06-09T01:05:07,166.46,0,2,21426,591,682140.0,"Video ini menceritakan perubahan rencana trip dari NTT ke ASEAN dan proses pengiriman mobil untuk digunakan dalam perjalanan tersebut. Dijelaskan dua opsi pengiriman mobil ke Malaysia: via kontainer dengan biaya 45 juta atau via Sarawak seharga 9,3 juta. Selain itu, dibahas juga dokumen yang diperlukan seperti karne (paspor untuk mobil) dengan biaya sekitar 6 juta dan deposit 25% dari harga mobil.",Transportasi Mobil ke ASEAN: Biaya dan Prosedur,Other,400,118.1224606,31.26454976,-10.858175,7.7361217,1657.945545,980.6713523
523,motomobitv,7079.0,1203273.0,1215.0,"Jendela unik

#vwidbuzz",23,2025-06-15T04:53:17,16.666,1,0,8389,75,379539.0,"Video ini membahas fitur jendela pada VW ID bus yang dapat dibuka dengan sistem geser elektrik, bukan mekanik. Jendela tersebut dioperasikan dengan menekan tombol daripada menarik atau mendorong.",Jendela Geser Elektrik pada VW ID Bus,Otomotif,195,119.4892757,22.55299645,-19.397945,9.165431,1296.405883,686.449443
496,motomobitv,7079.0,1203272.0,1215.0,"Ada yang bisa terbang di GIIAS 2025

Merupakan drone yang bisa mengangkut manusia, tepatnya 2 manusia, dan ada bagasinya juga. Kecepatan maksimalnya bisa 130 km/jam. Rangenya 74 km dan ketinggian maksimalnya 1640 feet atau 500 meter atau hampir 4 kali tinggi Monas. Sudah dilakukan test flight pula, hmm mungkin suatu saat nanti akan bisa dipakai di Indonesia atau tidak ya?",374,2025-08-03T08:05:49,41.408,0,0,3382,20,119547.0,"Video ini membahas kendaraan Xpeng S2 Sky Traveler yang dikategorikan sebagai mobil terbang. Kendaraan ini memiliki bodi karbon, layar tengah, dan layar individual di bagian kanan-kiri. Namun, joknya keras dan tidak dapat diatur.Jumlah saklar yang banyak membuat kesanpertama performer. Meskipun disebut sebagai mobil terbang, kendaraan ini lebih mirip drone yang dapat mengangkut manusia, yang menurut penulis agak mengecewakan.",Ulasan Xpeng S2 Sky Traveler: Mobil Terbang atau Drone?,Otomotif,429,119.2618731,12.48304159,-9.225705,4.6423583,1279.831539,347.6203739
743,dokter.ikan.indonesia,399.0,283453.0,359.0,"Koi mungil ini kondisinya sekarang oke bangettt, dia recovery dengan sangat baik. Semoga cepat kembali ke ownerrr

#fish #fishtank #ikan #koi #koifish #ikankoi #dokterhewan #dokterikan #dokterikanindonesia #fishvet #nishikigoi #animal #animallovers",248,2024-07-19T11:03:17,68.334,13,0,4809,18,283413.0,"Video ini menjelaskan penggunaan krayoterapi pada ikan untuk mengatasi tonjolan pada kulit yang sulit dihilangkan. Krayoterapi menggunakan nitrogen cair untuk membekukan dan mengangkat jaringan abnormal, dengan kelebihan mengurangi peradangan dan pendarahan, serta membuat ikan merasa kurang sakit. Dalam proses ini, ikan dibius dan diberikan obat-obatan seperti antibiotik, anti radang, dan vitamin setelahnya untuk pemulihan.",Penggunaan Krayoterapi pada Ikan untuk Mengatasi Tonjolan Kulit,Kesehatan,427,104.9421059,26.42307371,-9.444076,4.0273075,1812.49411,1041.554044
192,hamdan.hamedan,803.0,144957.0,1620.0,"Alhamdulillah, survei Litbang Kompas menunjukkan optimisme publik terhadap olahraga Indonesia semakin tinggi! 💪✨

75% responden puas dengan kinerja Kemenpora dalam memajukan prestasi olahraga nasional, dan 79% memberikan citra positif pada Menpora @ditoariotedjo . 🙌

Prestasi atlet kita di ajang internasional pun semakin membanggakan, termasuk di Olimpiade dan Paralimpiade 🏅

Perlahan, olahraga Indonesia lintas cabor berkembang dan bertumbuh.

Semoga kemajuan ini terus berlanjut.

Yuk bersama-sama kita dukung olahraga Indonesia untuk terus melaju hingga bisa jadi tuan rumah Olimpiade 2036! 🇮🇩

Together, we can do it 💪🏻💪🏻

#KemenporaIndonesia #AyoOlahraga #BangkitOlahraga #OlahragaUntukSemua #PrestasiIndonesia #IndonesiaJuara #OlahragaNasional #SemangatOlahraga #OlahragaBersama #PemudaBerprestasi #kemenpora #OlahragaIndonesia #PembangunanOlahraga #AtletIndonesia #DukungAtletNasional #OlahragaMembangunBangsa #MenujuOlimpiade #BanggaOlahraga #AtletBerprestasi #SportForAll #menpora #GerakanMasyarakatSehat #OlahragaBersatu #IndonesiaSehat #JuaraSejati #AtletMudaIndonesia #PrestasiTanpaBatas #DukungOlahragaNasional #OlahragaPrestasiBangsa #GerakanNasionalOlahraga",1175,2024-10-18T02:47:00,82.416,30,1,1478,59,66054.0,"Sebuah survei terbaru dari Litbang Kompas menunjukkan bahwa 79% responden memberikan citra positif kepada Menteri Pemuda dan Olahraga, Dito Aryo Tejo, yang diyakini telah membawa perubahan signifikan dalam olahraga nasional. Sebanyak 77% masyarakat juga puas dengan pembinaan atlet Indonesia yang berhasil meraih prestasi di kancah internasional, seperti dalam badminton, sepak bola, dan angkat besi.

Selain itu, 96,5% responden percaya bahwa olahraga adalah penggerak ekonomi nasional, dan lebih dari 95% yakin produk lokal dapat bersaing dengan produk internasional. Prestasi olahraga juga membangkitkan rasa bangga nasional, dengan 98,8% masyarakat yang merasakannya. Dukungan pemerintah dan semangat masyarakat membuat Indonesia siap untuk menjadi tuan rumah Olimpiade 2036.",Masyarakat Indonesia Puas dengan Kemajuan Olahraga Nasional,Olahraga,779,120.4645864,51.93280119,-8.771006,6.2541976,1954.077321,849.1130591
763,dokter.ikan.indonesia,399.0,283472.0,359.0,"Supaya di RSHP UWKS nanti bisa terima pasien ikaann. Sebenernya kita belajar juga cara xray, tapi sayang ngga ke video🥲
Memang sudah menjadi kewajiban kita sebagai dokter untuk terus belajar, kegagalan akan banyak mampir kalau kita sudah merasa pintar

#fish #ikan #koi #dokterikan #dokterikanindonesia #fishvet #koifish #fishtank #animal #animallovers #dokterhewan",365,2024-09-15T05:41:38,68.7,11,0,5153,30,257366.0,"Seorang narasumber diundang ke Universitas Ujahiku Sumasurabaya untuk mengajarkan operasi ikan di fakultas kedokteran hewan. Mereka mempraktikkan operasi gonadectomy, yaitu pengambilan telur pada ikan betina yang tidak dapat dikeluarkan secara alami untuk mencegah risiko gonadal neoplasma. Prosedur ini dilakukan oleh Dokter Ahmad, seorang dosen bedah yang terampil, menunjukkan betapa pentingnya para pengajar untuk terus meningkatkan kemampuan mereka demi menghasilkan lulusan yang kompeten.",Operasi Gonadectomy pada Ikan di Universitas Ujahiku Sumasurabaya,Other,494,92.22686428,31.32642915,-7.99793,4.1016645,2156.659778,1193.30473
